Comment,Factor,Sentiment
arw better ravish humesha anti modi anti bjp hi feel hote lagta hai ki content tp bahana hai modi bjp nishana bahut balanced ho sab ko pakad lete ho aur hume trith dikhate aap pasand hai par apne unko criticism kiya mujhe acha nahi hun kisi akash,Stubble burning,neutral
question time resolve problem govt fight like cat dog nobody say short problem,Government,negative
delhi people start protest demanding kejriwal central govt act stubble burning akash start protest ur city gather people take delhi people take help youtubers bring people somebody start change,Citizens of Delhi,neutral
biswaguru feel proud prime minister polluted capital world,Location,neutral
question gon na say cry little spoken like true deshbhakt,Citizens of Delhi,neutral
yeh sirf yha view ke liye aya hai hmesh ki trah ise koi farak nahi padta b defamation krna ata hai,Location,neutral
make good video topic personal level keep worrying feel angered seeing delhi every year although live hyderabad happen questioned online web question one another said 8 year play drama always illogical rule etc shall file petition,Location,negative
bhai tujhe har baat pe modi ko kyun dosh dena hota hai modi ne teri ke gaand mari thi,Location,neutral
quthn kro sb frk ni pdta support ho ni suffer hame krna quthn hme krna hoga,Location,neutral
make video ch lal singh jammu,Location,neutral
ghar pr sweden ki hawa,Location,neutral
yes question sure,Firecrakers,neutral
question akash,Citizens of Delhi,neutral
question politics whoud change change,Government,neutral
blam game,Vehicle emission,neutral
question citizen india,Location,neutral
question government always please keep good work,Government,positive
past would annually allocate fund purchasing firework diwali however year embracing new resolution invest fund acquiring plant elevating significance want convey message resolution,Citizens of Delhi,neutral
yeh sarakaron ke ba ki nahi rhi baat absarey samajdaar youtubers social medium influencers content maker milkar ek party bna lo fund raise krke iska koi solution find kro impliment kro,Location,neutral
question mostly anbhkts,Location,neutral
called deshbhakt farmer directly blamable lazy state govt,Government,negative
aakash bhai hum kolkata rehte hai kolkata se itni dur sawal kare v toh kya fayda sunne wala kaun hai sunega toh koi nehi question,Location,neutral
focusing diwali pollution,Citizens of Delhi,neutral
bebak petrakarita analysis based fact good presentation without biose politics,Firecrakers,positive
lakin tu pollution ke bare baat krne aaya tha tera baap bhi soch rha hoga ki ki madarch ko paida kr diya maine,Stubble burning,neutral
instead pinpointing responsible delhi pollution idiot targeting modi video biased g dum chahiye kejri ko blame karne,Location,negative
good episode,Citizens of Delhi,positive
question campaign,Firecrakers,neutral
blame game also happening climate change cause environmental degradation construction plastic vehicle agriculture power sector blaming year year concrete change happens coz accountability admins thought given people people kid time,Vehicle emission,negative
tum morabi ki bridge yad bihar ki 1200cr ki bridge collapse ho geya wo yad nehi,Firecrakers,neutral
baat sahi hai,Location,neutral
left asks question power directly thanks voice question,Location,neutral
belong farmer family haryana stubble burning left option watching episode got question farming community well think political party ever going help u farming community help discovering substitute stubble burning ask,Stubble burning,negative
ji bilkul supreme court ki ijjat karo pollution isliye faila ki diwali aane wali hai mai supreme court ko bahut hi serious le rha hu,Location,negative
sir bat man na majboori h warna gand tod denge ye log,Citizens of Delhi,neutral
soo much respect biggest fan akash sir luv u nd ur editor,Citizens of Delhi,positive
gon na definitely question thanks amazing content sir,Firecrakers,positive
best episode,Citizens of Delhi,positive
question great episode,Citizens of Delhi,positive
yes question u,Firecrakers,neutral
actually unbiased laga apka view bilkul sahi kaha lekin,Location,neutral
iwillquestionmorei question,Firecrakers,neutral
agar beech beech apshabd na bole jaye logo ko maja kaise aayega kyu deshbhakt,Location,neutral
every year give vote nota people ask party actually party real deshbakht,Location,neutral
kal mera 20000 ka challan kat diya delhi apni sister ko hospital leke aaya tha bola ki 2017 model h b iii petrol h isliye jabki petrol car ab batao banda hospital dikhane laya itni dor se uska challan ho gaya jbki ye bat humko pata hi nahi h pr challan kat jayega,Location,neutral
andaman nicobar best,Location,positive
air pollution problem hoax,Firecrakers,negative
covid ka kya scene hay,Location,neutral
delhi worst capital world change capital pollution rape common national capital joke,Location,negative
true nobody talk crucial issue like pollution littering health cleanliness issue even basic election issue whereas everybody thinking destroying environment without monetising environment protection citizen hardly learn littering proper waste disposal mechanism basic throwing plastic wrapper huge issue whereas focussing coding artificial learning without learning basic civic skill,Location,negative
question road dust source 56 pm increase population density car density etc increasing far face consequence,Vehicle emission,neutral
please make video mumbai air pollution cause solution,Location,negative
yet another powerful hard hitting monologue end reach one power,Firecrakers,positive
congress ko dubone ko kejjriwal aur anna aya tha sath dus sal pahle aur ab baith ke inki bhi rajneeti chal rahi hai aur kaam dham koi inse dhang ka hota ni,Citizens of Delhi,neutral
question answer keep voting caste census one party dividing along religion another caste nobody political party gut work climate erosion nature punish retaliate,Stubble burning,negative
delhi bekar accha huva mera birth delhi nahi huva,Citizens of Delhi,neutral
fake news complete ban firecracker india supreme court issued regulation chemical firecracker across country,Firecrakers,negative
question need enemy like china pakistan leader capable destroying nation rather say already destroyed viswaguru ya vish guru,Location,negative
ladakh bhej udhar bher bakhri ko khana milega,Location,neutral
question desh khatre hain pollution se,Vehicle emission,neutral
one people speaking truth day,Location,positive
definitely question,Firecrakers,neutral
jaada promoting kaarna chaiye pear kaat ke,Farming practices,neutral
aap toh unbiased nikle,Location,neutral
100 agreed people party politics,Firecrakers,neutral
question need deshbhakt like like,Citizens of Delhi,neutral
question want see better future desh bhakt matter response get video keep,Location,neutral
wil question,Firecrakers,neutral
ek bade andolan ki jarurat hai,Location,neutral
ask question please let know procedure would love,Firecrakers,neutral
question responsibility take serious,Firecrakers,neutral
buddy u r really heroaapka confidence dekh kr lgta h ki abhi bhi kuch ho skta h aunty ki line hr party pe fit bethti h ki ye sb milkar humko paagal bana rhe h question,Government,positive
air pollution treated national level health hazard state national government take serious substantial step tackle issue already vishwaguru take step artificial rain sustainable construction method bring immediate relief emergency,Government,negative
many people small place,Location,neutral
question morei support thought,Firecrakers,neutral
question listen aakash ji question karne ka benefit tab hai jab koi suney yaha sab changa si hai log berozgaar hai per fir bhi sab changa si hai listen aakash ji sad know koi k aage bol sakta hai kya,Stubble burning,neutral
video deserves much like comment question definitely,Location,neutral
question dont know people gone blind 2014,Location,neutral
question pathetic state affair,Government,negative
vehicular pollution 67 thermal power plant 12 household 15 state 5,Vehicle emission,negative
need respect button,Firecrakers,neutral
baaki still waiting video manish sisodia mahua moitra twitter block krne se kuch nhi,Location,neutral
good,Firecrakers,positive
questioning representative government,Government,neutral
much ranting must make feel good pollution however created u people else responsible garbage mountain around every city town country care environment metro making cut 35000 tree care number car ac ac car go ease business flouting environment norm today sounded like middle class society unkil hope grow,Vehicle emission,negative
honest diwali never festival cracker always celebration happiness joy meet greet importantly lighting house diyas beautiful light remember return shri ram ayodhya defeating evil king ravana,Location,positive
modi rahul kejriwal sabhi se mera swaal kab tak sab thik hoga time line honi chahiye,Citizens of Delhi,neutral
aakash citizen mai kyaa kr skti hu meri kyaaa responsibility honi chaiye,Location,neutral
party kitty dosage politics vote bank secondly blame game whatever happens delhi always answered modiji ki galti kejriwal one answer seeing iit graduate behaving like mere fool discourage generation also generation living delusion social medium post looking blindly west good grace going end nothing effort help anything sadly,Citizens of Delhi,negative
question akash ji work analysis outstanding,Firecrakers,positive
need human being like really appreciate work akash many thanks team question,Firecrakers,positive
akash bhai best video made ever rest bad aggression disappointment needed high time everyone start questioning party take measure work delhi shifted souther part country month back parent delhi know worried wellbeing voice people like u akash kudos,Citizens of Delhi,positive
willl also question topic annoying topic contry specially weekend festival season,Firecrakers,negative
fact illogical ban vehicle city logical ban cracker cause unnessarily noise smoke health hazard actually waste money world heading towards green solution u wise keep say cracker,Vehicle emission,negative
87 active actual fact last friday khud apni aankho se dekha,Location,neutral
inko batao bhi lagataar parali jal rahi hai jo ki delhi se 60 km hai ba,Location,neutral
question opinion diwali ke samay sabhi experiment channel ko band kar dena chahiye jo paglo ki betahasha patakhe jalate hai aur pollution phailate hai please ignore dislike video,Location,negative
still 10th 12th student forced go school r child,Location,neutral
tell control pollution ask government,Government,neutral
well question,Firecrakers,neutral
deshbhakt,Citizens of Delhi,neutral
iwillquestionmore,Firecrakers,neutral
deshbhakt naam badal ke propagandist rakh frustrated congressman,Location,negative
chuse iita person cm cz useless know blame others,Location,negative
construction chal rahi car daba ker use ho rahi hai delhi ncr regularly parali burn ho rahi hai ganne ke kheto chaal jalayi jaa rahi hai kabhi badot bagpat shamli rod ko dino use karke dekho niklna mushkil hai waha se koi visibility na ke barabar hai government nihayat nikkmi orfail hai ye sab rokne thikhra logo k upper fodna hai delhi government k purane vehicle seej karke dhikhao karo band mcd k old truck phir batao,Government,neutral
question high time authority start working implementing environmental policy party hat covering topic keep good work,Government,positive
one q instead burning possible make compost farm waste,Farming practices,neutral
aise hi superpower banenge,Vehicle emission,neutral
human become selfish ki humari yahi soch rahti hai ki humara kaam nikal jaaye ba baaki duniya jaaye bhaad know politician blamed hand control farm fire fault human keeping attitude ki kaam chal raha hai kya dikkat hai never questioning occupied caste religion pity issue reason behind end mankind,Farming practices,negative
london become fog government really worked see result today river thames cleanest river flow large metropolis,Government,positive
questioning still question good episode,Citizens of Delhi,positive
politics becoming toxic need think politics national duty business opportunity,Stubble burning,negative
time government honest occupation bickering blaming one politics making money creating personal asset one administration questioning twist irony headline nation premier newspaper today announced delhi air quality improved poor severe,Government,negative
traffic police ke maje ho jaate hai har koi 10000 fine se bachne ke liye bribe de hi deta hai,Location,neutral
sir question continue good journalism,Firecrakers,positive
modi aur hinduism bina aap waalo ki aur unke namuno ki dukaan hi nhi chalti,Location,neutral
even seen air pollution everywhere still remember mine first visit delhi 2018 2 pm also like evening mine photo mine diwali vacation delhi smoggy biggest thing people willing question respective govt either state central also parent teacher shape society willing question anything even hard conversation mine professor current situation modi govt supporting right wing ideology blaming card u v card pappu card question,Government,neutral
excellent analysis,Firecrakers,positive
fire cracker sirf paper par ban,Firecrakers,negative
question individual something feel helpless time,Location,negative
question reject polluted air,Location,negative
min cap number passenger traveling car,Vehicle emission,neutral
questioning deshbhakt,Citizens of Delhi,neutral
desh ka dogla,Citizens of Delhi,neutral
question thanks giving word common feeling,Location,neutral
question get pollution free environmentand ed environmental directorate,Location,neutral
iwillquestionmore,Firecrakers,neutral
questioning thing today guess without chance getting answer,Firecrakers,negative
everyone come forward case one come forward everyone face dire situation future everyone must ask question,Location,negative
supreme court indirectly added fire communal disharmony sad anti national take advantage,Firecrakers,negative
yes u r right one asking question one bz every one poetical choice thinking ask question party plm another problem every one wake delhi get gas chamber one month every one got another issue flow issue last year shifted gurgaon harohalli near banglore felling good thing pure current aqi 46 wake morning clearly bird chirping night sky clear child able see star sky citizen india felt bad see situation like last year listen technology coming japan somoke tower going fitted thing crore rupee expended result,Citizens of Delhi,neutral
sahi baat hai atleast jaise topic pe hme aage aana hoga sawal krna hoga posting comment stop towards atleast knowing addressing issue kyuki hm log sirf discus krke chor dete hai next year fir hoga think isko election mudda hona chahiye iska solution hai bahut sare solution 1 ex bio fuel making storing stubble month burning later buying stubble farmer converting organic manure etc bahut solution hai iccha jagao kam krne ki dear politician ye message unke liye jo har jagah rajniti krte hai karo yaha bhi yaha bhi spam kro isse comment video ko engagement milega jisse reach badhega please spam comment section dear pseudo deshbhakt,Stubble burning,neutral
india capital may changed delhi back kolkata formation india british thug,Location,neutral
8 november mitro bhul gye kiya,Location,neutral
question know right,Firecrakers,neutral
true politician accountability nahi lete hai aur logon ko religion k alawa duniya nazar nahi aati question ek sher likha tha wo arz karna chahungi insaan zehen mein zeher ghol raha hai kya insaan ke liye dharti ka mol nahi raha,Stubble burning,neutral
question thats way,Location,neutral
futile even say anything soon say something like bjp congress supporter come daddy,Location,neutral
question high time citizen country take environmental concern seriously otherwise usual politician keep blaming according poltical interest common people keep akash unbiased episode,Location,neutral
haye rey murkh audience uske manipulative influencers interestingly left punjab major cause polution majority stake stuble burning google public talus pit rahi hai ganwar audience,Stubble burning,negative
india kya hai sirf politics politics aur sirf,Stubble burning,neutral
reason pollution delhi delhi cheif minister arvind kejriwal bothered problem,Government,negative
aakash ji basic research ke liye koi funding nahin hai one want look,Location,neutral
aap blaming bjp worse condition delhi without looking,Location,negative
question firstly government always fail stage implementation proper way,Government,negative
question rulling party,Firecrakers,neutral
cracker bann krne k liye supreme court k pas time h prmanipur k logo k liye kisi k pas time nhi h wah kya log h hmare desh,Firecrakers,neutral
agree question asked think stage huge protest warranted time ca deny vehicular pollution one major culprit unite push government reduce construction activity green industrial policy phase electricity use transport method ca really shift blame entirely government together,Vehicle emission,negative
bro discussed everything except pollution solution,Firecrakers,neutral
ask question,Firecrakers,neutral
kuch log lung khraab hone par bhi jai shiri ram bol le,Location,neutral
iit qualified cm unfortunately helpless center cooperative,Location,negative
question awesome video sad see people think breathing fresh air basic requirement,Location,positive
one question wb,Firecrakers,neutral
questiong hat akash ji,Location,neutral
iit se nikal k chief minister ban gaye lekin bande k dimag politics havi ho gai lie 8 saalo se polution ko le k ilzam ilzam khel rh h,Government,neutral
question kejriwal modi harmfull,Citizens of Delhi,negative
nice,Firecrakers,positive
least someone talking sense question,Location,neutral
questioning great nation cunt bill without great people,Stubble burning,negative
great,Firecrakers,positive
deshbhakt best roaster,Firecrakers,positive
earth created orderly state called wise two legged creature destroying ie rebellious heart lout ke buddhu ghar ko aao massage,Location,negative
like episode,Location,neutral
question aakash bhai,Citizens of Delhi,neutral
continue question,Firecrakers,neutral
govt srf apni jeb bharne ke liye politics aate hai desh ke liye koi politics nahi aata,Government,neutral
shall question,Firecrakers,neutral
question time even care reply,Firecrakers,negative
kejriwal govt jb start aayi bht josh thi hame bhi laga dilli badal jaegi pr dilli ki halat zada kharab hai,Government,neutral
last 2 min got deshbhakt roid rage feel floor trembling oh mother nature sorry,Stubble burning,negative
question hindustan jaise desh sab kuch allowed hai ye band hona chahiye hi desh bachega sab kuch allowed ka matalab allowedcorruption allowedno population control allowedpolution allowedno proper response government poor people allowedye sab band hona,Location,neutral
liberalism farm fire indiapunjab 65 haryana 5 akash banerjee added bjp ruled statesharyana uttar pradesh madhya pradesh 30 said stop politics farm fire medium bootlicked liberal govts 60 year,Location,neutral
question good job,Firecrakers,positive
sawal banta hai,Location,neutral
punjab facing pollution level,Location,negative
thank much sir informative topic present episode major issue country please make deep study episode pollution badly form starting winter,Citizens of Delhi,neutral
thedeshbhakt 70hours wala funda gaalt nahi hai lekin galat tarike se bataya gaya know across company kuch log 8hours per day bhi log nahi karte lekin kaam ho jaata hai kaise cause others log 12hours per day agar org structure defined ho monitoring ho individual performance pe sab milke 8hours per day kaam karne se kaam ho jaega ye governance lana ya monitoring karna mushkil hai badde badde ceo log bol dete hain ki bhai 70hours kaam karo end average log 70hours kaam karte hain kuch 30hours week kuch 110hours week,Location,neutral
questioning,Firecrakers,neutral
pctv bill,Government,neutral
question thanks video support awareness,Firecrakers,positive
yes bhai question great video,Citizens of Delhi,positive
wow make even bigger fan continue question,Firecrakers,positive
agar delhi sarkar artificial rain karadeti kuch dino ka 3days time leke aaj delhi walo ko yeh din dekhna nahi ho ya narendra modi sabhi ek jaise chor ha lekin modi ka position thora better ha chori karne mein citizen start asking question never get time,Citizens of Delhi,neutral
pollution control se vote nhi aate aate toh abhi tak theek ho jata,Vehicle emission,neutral
sad part one gon na take serious country actually fucked politician recless question,Government,negative
also question advantage disadvantage,Location,neutral
aapka gussa mujhe samajh mein aya tried control lot come justified government blamed alone citizen also blame throwing garbage street burning chai peene k lie diesel gaari leke gedi marna much illegal consturction work private contractor resulting burning fossil fuel etc responsible happening need question anyone individually start caring 5 km area entire nation take care need ask question government whenever something ask right perspective humanity long term existence,Government,negative
ask question,Firecrakers,neutral
aayush rizwan mirza child 5years older hamre desh ka future avi apke hi last vedio main,Location,neutral
one question people like deshbhakt khan sir abhi niyu enter adminstration politics change country,Government,neutral
question right,Firecrakers,neutral
come burning fire village punjab punjab dosent affect mohali amtrisar ludhuiana chandigarh n jallandar city punjab aerent,Location,neutral
outside population inflow city like delhi mumbai huge issue root cause majority problem life popolation experiencing huge pollution worse delhi one care,Location,negative
ill question hope people really get point trying push govts take action,Government,neutral
people consume news medium invisible pipeline punjab inject pollution towards delhi directly wait aqi better delhi leave one gon na blame delhi industrial area waste hill city lakh air conditioner vehicle delhi buy yeah diwali punjab reason delhi pollution,Industrial emission,negative
aiims delhi nhi jaunga mil v gya,Citizens of Delhi,neutral
beta ji aapke kejriwal ke baare main kuch bol lo ki usne bhi kuch nahi kiya bina paisa liye aap makhi bhi nahi marroge aap bhi bata sakte ho national decision lene main state kitna bada issue hain,Stubble burning,neutral
question much possible party government,Government,neutral
good work sir,Firecrakers,positive
bhai pahli baar tera video dekh rha hu pr saaf saaf dikh rha agenda leke chal rha se km agenda ke alawa kisi aur aspect ko dhyan rakh ke video bna liya kro accha rahega,Location,neutral
bilkul sahi kaha hai,Location,neutral
bro amazing work ca stop laughing see video thumbnail mr kejriwal modi ji laughing notorious,Citizens of Delhi,positive
question great information sir,Firecrakers,positive
want question got right platform,Location,neutral
think change capital city india bangalore mumbai biggest tech giant also popular tourist place,Location,positive
would like question question,Firecrakers,neutral
question right,Firecrakers,neutral
first hat content seriously nation question government lack inquiry even towards manager instead raising concern crucial issue like air pollution worker condition uttarkashi education healthcare challenge faced journalist focus seems something trivial world cup disheartening many people india prioritize allegiance modi addressing pressing filled emotion,Government,negative
question love assam,Location,neutral
blame,Location,neutral
question aamadmi,Citizens of Delhi,neutral
came back akash video heart brew cricket world cup also came back reality india brilliant work akash binge watching video posted world cup,Location,positive
sabse jyada pollution mp indore noida hai,Citizens of Delhi,neutral
konsa cracker,Location,neutral
great word great person,Firecrakers,positive
sidhe point pe kyu ni aate,Location,neutral
sir u said 665 showing 655,Firecrakers,neutral
deshbhagat bhai mai punjab se hu lekin center govt aour state gov ko koi selution nikalna chahiye kio k kisano k pas koi selution nhi hai aour paisa bhi nhi hai kio k bhi ak farmer,Government,neutral
mr banerjee pollitant,Government,neutral
wonder much money punjabi farmer need rich pay income tax direct still want subsidised burning stubble yaar ek mercedes kum khreed lena,Stubble burning,neutral
aap worst brand ambassdors hypocracy asshole rot hell mc kejriwal anybody else party like bjp inc playing dumb overall delhights stay like take granted,Government,negative
condition improve becomes real agenda commonthen every party add following curriculumand hope disagree delhi govt pollution wala thing party agenda yet failed blame haryana rajasthan much pollution never big thing electionsthis also need taken consideration,Government,negative
question student union,Location,neutral
kehena kya chahata hai manno budhi burbak,Location,neutral
listening last 2 min heated rant lot people asking question question question point question heard well beyond start questioning start questioning bigotry hate blindness whatsapp group start sharing important article start supporting good content web start questioning govt question around keep working upwards wrong believe small question bring change often one set eventual tsunami voice matter question matter speak india questioning deshbhakt,Government,neutral
duniya goat chaal chaldi veere dekh dae nhi india vich ki ho rya jae e tra chalda rya lokka di aazaadi v chali jaani hor thode time tak,Location,neutral
question everything,Firecrakers,neutral
whats situation,Firecrakers,neutral
question always question,Firecrakers,neutral
godi bhakt disagree,Location,negative
question sir job sir,Government,neutral
ye sab milkar hume bana rahe hain,Farming practices,neutral
hamam sab,Location,neutral
must question,Firecrakers,neutral
